爷就是那么有风度,但我等,順其琪然,生命在继续,泡沫易醉i,未离开,淚絡橋沐,故人怎追忆,樱花落尽泪已下,温暖不到心里
爺独手毁天下,微笑式悲伤,坏得让人心痛的我,烟里的一缕忧愁,等待苍凉谁,心尚温,花落,苍白女子,戒不掉的忧伤,慢慢的就淡忘了
猛男打天下,表面幸福,不了了之,沧桑的回忆,懂得放手,冷眸冰泪,失溫,苍白的笑,空有我葬,只为等你一个拥抱
够狠才是男人,无谓的托词,泪倾倒温柔,那季苦笑,哭显孤单,愿你心安,怀念过去,没有如果的假设,忘不了,三生三世十里桃花
容我鄙视,点点的肉痛,回忆掩埋耳语,麻木的微笑,眼泪为你留,苦逼党,念清风,有谁真的懂我,假装不在乎,轻弹一曲梦中送
爷不是你能想象的,难忘的记忆,回忆纵然在,默念这悲伤,最初的纪念,巨坚强,饮泣,逝雪深笑意浅,碎了一地的诺言,福轻若羽
俺小时候可酷了,你的泪会说慌,一人独自催眠,回忆里没有你,消失了,来生再见吧,惨将别,荒岛孤人笑,乞许,笑望红尘
我玩命你随意,玫瑰的刺痛,抓不牢,寂寞好了,你不懂我,光辉再终结,泪目,苍苍迟暮,牵手时的记忆,物事人非事事休
哥有哥的谱,我想我疯了,默默回忆苦笑,南风暖身心却凄凉,难过泛滥成河,我长大了,算了吧,旅人泪,爱还逝,回眸醉倾城
寂寞叼烟小帅哥,一抹极端的笑,闭上眼睛默数伤痕,梦醒人已散,爱已成叹息,试着放弃,谁让谁幸福了,寂寞情人,临别那花季,曲终人终须散
你惊艳了我的时光,紧紧抱着过去,舍弃更难,心碎怎合,凄凉,我没有城府,低下头丶回忆,醉酒成梦,遗失的爱,伴生梦
狂躁不安的心,掩饰悲伤,为你我受冷风吹,失色旳瞳孔,不完美的童話,雨落残花,别再惊动记忆,掩饰的心伤,北风噬心,命为红颜
潮男风向标,她的眼睛会下雨,只能故意不去想你,心上刺青,我没爱人,孤独成性,待復制的丶愛,还爱着但却分手了,容我爱你可好,悔之晚矣
久孤的王,预见离别,回忆再美也是曾经,最凉不过人心,忆人伤,余音未凉,轻离别,所谓德爱情,还剩下些什么,相濡以沫
萌城少年,心碎的声音,累了就散吧,寂寞盘旋,使劲难受,走太远,街头丶听寂寞,我一个人,那些往事,多情戏子
,患得患失的情,你比时间凉薄,女人本该妖娆,街角丶祝福你,暖心人,垂帘落泪,如何坦然释怀,消失,彼岸花开忆流年
叼烟驱赶愁绪,还是一人,别离憔悴,被破坏的情,深深的回忆,如若不相遇,谁顾我冷暖,迷了路的幸福,落寞亦如悲伤,泪妆
Sun暖夏少年,留不住你的美,人心怕海碎,不再为你痛,输给了我以为,旧巷情书,压抑的感情,你陌生的让我害怕,冷言冷语的小伪装,愿逐月华流照君
那年那季那少年,死守一世寂寞,不想听谎言,旧梦难温,毁梦碎心,孤独成瘾,冷冻的沉默,风吹泪落,怪我难拥人心,落花摇情满江树
高端大气上档次,谁说天堂无悲伤,最后的溫存,不复存在,不醒的梦,浅夏微凉,一枕秋风两处凉,晴天娃娃的泪,只是小丑而已,花落凋零红寥落
罩不住的小帅气gg,承诺弱不禁风,黯然的苍凉,微微的思念,痛谁懂,天性凉薄,枉然如夢,如花堪折,念卿天涯,昨夜闲潭梦落花
好男人都怕老婆,我承认我忘不了你,荒岛晴空,泪无痕,相爱相杀,哎呀猪亲我,断弦,锦书寄去,绾青鸢,阡陌浓香
独自霸占你的美,为伊宽笑颜,入戏太深,看君拥佳人入怀,无声胜喧言,只靠听说,吾皇本是俏佳人,旧城以无感情,霓裳羽衣,月夜星空
没了对象省了流量,姹紫嫣红,泡沫之夏,墨描熙画,征战四方,还给你的自由,孤舟残月,独自空忆成欢,泼墨画霓裳,
此男值得擁有,青路红尘,与猪共舞,望天边星宿,惊鸿一瞥,無奈已被傷,花间一壶酒,黄粱空梦,莫路繁华终成殇,七里笙
不着调调的小男人,碧水东流,浅笑嫣然,旧楼天台,君入吾心,让爱慢慢成熟,凡夫俗子,时光凉丶春衫薄,江上月丶画中仙,朝如青丝暮成雪
对感情很偏食,紫霞仙子,月下饮茶,半旧情怀,无远思近则忧,杯酒下肚,尘世羙,撑一把青伞,一马平川,笛声寒窗影残
穿拖鞋走出高调,孤城,皇权爱人,白空映灯,一丈之内方为夫,满心荒凉i,回眸丶泪倾城,只饮烈酒不谈过往,孤枕百年,似水流年
一个人的搁浅,原始的年代,雨幕在弥散影中,众人皆醉唯我独醒,闲云清烟,怪峩冭天眞,一世浮华,红伞故人,对饮江南雨,浊酒焚
高姿态男子,花开月圆,夜稀清晰在月中,叶繁终唯枯,古道印残灯,无声胜有声,眉目传书,逍遥人世欢,繁华落幕,帝后
耍酷是爷的资本,夕阳一抹红颜,月蛮沁逝在心中,饮雪煮茶,把酒言欢,静夜漫思,伊人何故,独守空城丶只为你,尔虞我诈,樱雪之城
你不懂朕的心事,白首迟暮,茶笺油灯,半岛弥音,醉枫染墨丶支离碎,缺爱先森,一曲离殇,记忆的窗景,如诗如画,梦离
左手淡淡烟草香,紫色岁月,故人离,倾雪丶思念,思君令人老,带着梦想去旅行,白头之吟,与君共舞,烟绡弥漫在空中,陌上花
猖狂爷的资本,冰蓝梦境,仙剑问情,准风月谈,孤愿为汝倾尽天下,别放弃,伏羲丶女娲,流苏如画,啼红泪,芦苇
卑微都是为了谁,巴黎街头挚ai莲,宁死不枉为君倾,浅安时光,爱卿领旨,别让梦想只是梦想,断桥烟雨丶旧人殇,忆离笙,末路陌路细碎尘埃,伊人笑
,为卿倾此天下,笙歌乱心,南巷长歌,活色生香,当爱y成往事乀,一缄书札,一羽霓裳等君还,挽梦忆笙歌,明媚殇
承诺如何叙述,十年寒如雪,月下独酌,点缀宫妆面,朕免你一死,深夜_蹲大街,君醉相思,古韵千秋,黯然销魂月,漫游诗人
新城已无旧少年,墨纸一笔画惆怅,美人如画画美人,帘隐青灯,绾发暮年,遥祭炎黄,初安故人,忆乡客,故人载尘而归,尔笑为红颜
小爷不说爱,故人来晤,逾期不候,踏雪寻梅,青山长河,好好爱自已,不惧长久,描眉作画,酒清浊,倾城丶红顔笑
时光吹老了好少年,夏雨别夕庭,落魄女,一首日光曲,故人西辞,笑说再见,历日旷久,北慕城南,旧年枕上,长伴君侧
不着调调的少年,佟湘玉,鱼传尺愫,血染江山的画,旧时月色,狐小狸,浮世清欢,华灯绯伤凉薄人,三瓜两枣,清酒吟
帅的钩心,尘埃之里,天国佳人,折扇掩面,夜未央丶樱花落,梦想如花般盛开,花自飘零丶水自流,画扇悲风殇月夜,伴君终老,叹落笔
温存你的温柔,烟燃烟灭,易生玺爱,陌生的城市,红颜薄命,梦想启程,烟雨离殇,凉薄时光葬空城,奈何桥上长恨歌,一曲琵琶倾城梦
疯一般的男子,凌波薇步,只是故人,倾倾城,泪染倾城,无人囍,老旧照片,捂风醉枕酒清,两面生,夏末凉城空余心
妳的愛需審核,旧梦虐心,墨羽,岁月流年,吾王美如画,半生毁,青丝发,仙女味的小野猫,声声卜及女尔,晨钟暮鼓
为你烫的烟疤,再回首,陈年往事,伊人笑颜依旧,清宵尚温,梦想的天空分外蓝,与君长诀,离愁当酒,大可当众抱住我,老友人
风闻她很美,之卿,枕千古,愁恨年年长相似,侠骨柔情摧红颜,流年堇花,绾发思君,俗欲,池北鱼,故城
夢醒念紅顏,白展堂,墨城烟柳旧曲绝,不负相思引,予之笑颜,玩味,夏醉浅梦,老女人的仙女棒,吝吻,北饮清茶
一朵忧郁男子,君誓与妾三生不弃,一久便惯,白衫故人,明月下西楼,梦呓,仗剑行诗者,穿粉红袜子的猫,春风忘了矜持,恶魔女狱长
不高不帅也不富,紫竹语嫣,回眸泪倾城,伊人倾城,独酌陈酿,薄姬,氿雾,骄傲与爱,急红眼的小兔子,九几年的信
固执旳大男亽,墨染殇雪,千古罪人,回首寒暄,棠梨煎雪,沧溟,我命有他,情票,先暖清酒,映我长夜清寂
妳微笑時很美,季樱花丶落雨殇,稳握王权,清夜深林觅故人,踽踽独行,过路人,岛与木海,,挠心猫,有味是清欢
薄荷少年微微凉,白衣卿相,旧如醉,诉清风,孤存,庸情俗爱,路岷,麦浪有风,情感杂货铺,债姬
谁能给哥幸福,拂袖杨花雪,烟花易冷,浪与矜持,左语,北岛空城,温柔少女控,爱什么面子,久爱于心,眼戏
指间的余烟,瑾色如弦,素时景年一世疏离,此情可待追忆,阑珊几场,与我无关,岁笙,妄愿,方觉久,网瘾少女心
你还未来我怎敢老,风帘残烛隔霜清,一曲离歌丶泪倾城,君生我未生,青衣水袖,风如白雪,软酱奶糖,长发小鹿纯,难挽游人,辜屿
薄荷微光少年时,灯火阑珊一片景,吾皇,琴默千弦,眉眼一袭温良,浅浅笙歌,哼着老调,撩妹小天使,生性太萌,难免惶恐
独身闯天涯,伤丶半世流离,一城柳絮吹成雪,笙歌歇尽,一纸红笺,短歌,霜雪落满头,零栀,泪咽却无声,青春不愿虚度
猜不透的男人,良人情未深,把酒唱别离,亦旧怡心,无处寄笺,驸马,寻觅雨中人,酒味病态怪女,桃花羞,昨日老死
做一个拉风的男人,血染素衣泪倾城,宇文庭轩,明月多情应笑我,醉眼不逢人,畏罪,干戈挽惆怅,摘下哭的面容,放任乖張,浮夸亦不及他
女人请绕行,仰面清风,惬允,十夏九黎,良辰不负美景,蓦然,吻别心上人,撸鹿七连杀,画扇浅醉染一袭,任谁
挑剔旳男人够资本,琴断丶弦奈何,泪如雪,山穷水尽更词穷,山抹微云,心随你而去,花谢忽如雪,阿爸的小仙女,话多起腻,娇喘妓
帅的不明显,墨锦倾城染青衣,借花献人,笙歌已沫,美如冠玉,灬花落莫相离,无尾风,三生诺,揪猫软妹,熊抱啵儿
越是流泪越仰望,相思意,青灯伴古佛,挽歌渐起,清水漪澜,花事,柚旅时光机,梦息,丑女娇颜,猫腻仙女抱
独宠一女,秋水伊人,年华零落成诗,笙歌醉梦间,笙歌君独幽,季渊,当個祖宗,麓屿,私野,风喜你
请你说爱我,夜色丶未央,醉色染红颜,美人迟暮,劝君莫执意,身影,灵魂检察官,旧梦逆心,梦溺旧时港,偏执满身
烟草味的男孩,他予吾梦,挽歌朽年,笙歌欢颜,词抒笙歌,敬情,大雾里的胡同,花街伴侣,被我萌晕,织谜
爷继续堕落,一战定江山,浪荡十壹猫,画唐轻赋临江仙,疏狂几曾,葵雨,软祣,娉如画,傻萌小学妹,风蛍月缓缓
M先生,香味少女,往事叫我剪短发,笑惜,轰炸男厕所,怅惘,煽情的戏,暖风洒温瞳,仙女味小野,平胸老少女
精致的小男人R3n,爱情骗子,浮夸的想念,烟云似雪,她说上帝是姐姐,努力做好咱己,姐比澳门还傲,玖桅,糖果宝贝,倾弋
我是沵的奥利奥,妖女哪里逃,真爱在流年,墨发长垂,我是淑女,无奈的生存,花神,揪情,红颜为君美,半世纪童话
聆听你的伤,腐烂花期,恰好是梦,我把余生靠一靠,菇凉长发未及腰,順q菑然,傻女,泪三年,现实太过虚伪,潇洒小姐
疯一样的男子,情话好听却伤心,末页书角,抬首轻笑,薄情女,帅哥在哪里,我的黑色迷你裙,青灯,花一样的年华,化妆包
孤独的男孩,时光未老他已不爱,花开宿语,曼陀罗花,囧妹子,疏远我i,瘾妓,目涩,转身已陌路,笨蛋我爱你
犯二菇凉不忧伤,哭累了就笑吧,哽咽情话,风起时我会想你,女汉纸也会伤心,贱人自有定义,旧梦太美只能半醒,偏痴,闺蜜至上,夏娃
温柔不是姐的范,仍旧热忱,千人覆清歌,雪舞兮,高阳公主,我的未来不是梦,一份流年,昙花一现旳爱情,假装自己很幸福,笑的没心没肺
微笑姑娘,你的绝情让我梦醒,一腔浊泪,一笑倾人城,滥情女子,拿命搏未来,女中豪杰,烟花般的情,木槿花开,我在等青蛙
氧气少女,给姐跪下,初梗,梦回尘间几寸欢,可爱情人,悲切,囧Y囧,诱惑,你是我的心跳,如果你也听说
西窗姑娘,辣条小妹,闭眼听风,女配角,一沓情书,风情,花开花落,执着,樱花咒,老婆子
会跳舞的猫,唯你入我心,栖止你掌,神经质,你若无心我便休,取暖,那个女孩的心碎了,曲终人散,醉倾城,圣女不败
凉心女神经,繁华落尽满心凉,女神经怎么了,舍不得你,温柔小西施,夏夜,低眉浅笑,编写一段爱,偶巴桑,撒娇师奶
一克拉的梦想,抱的太用力,泪落在梦中,大小姐,人家不時卡哇伊嘛,最初的梦想,耿直妹,某个地方,公主梦,不是非要嫁给你
浅凝半夏,情话与我,,蝴蝶結,高冷女王,没有梦想何必远方,鱼吻,你给的窝心暖暖的,失心瘋,吸金女郎
忆君颜,笑红了眼,南巷暖栀,醋王学妹,花香满园,路对了走再远也值,阳光中傻傻哭泣,偏中意你,奶妈,陌生的声音
半卷清词,很爱很爱你,姐貌美如花,女汉子称霸天下,我深知我很丑,风生水起,青柠檬檬哒,冷却,恋空,离去的痕迹
草莓尐姊,记得我的好,依然动人,栀初,蜜糖,走过不再回首,情难了,琳琅女称霸全服,丢心,沧海桑田丶等君归
人比黄花瘦,请把我的心还给我,单眼皮女王,女汉子吼起,梦里寻她千百度,晚秋骄阳,眼泪笑了,酒煙妓,闺蜜,心情控
没未来的胖子,暖心胖妹子,温柔一把刀,蝶变,睡美人,理智去爱,挥之不去旳记忆,落蝶,回眸,路边的小野花
盘腿女孩,期待你的爱,比曼陀罗妖艳,疯疯癫癫的女人,时尚女孩,理解的心,战神美女,痴情女汉子,空着,你给的回忆
姐就是有狂的资本,,我爱上了一个傻瓜,感性妹,酒浓情人醉,伤会慢慢愈合,男人不可信,介意,你要的坚强,别跟姐谈爱情
短发女神经,,眼泪笑我太懦弱,烟花易冷红颜薄,我们蓦然相愛,,七瑾不开花,一生的谎言,承诺已过时,回忆里等死
拼命姑娘,,你祖奶我很好,素颜妆,最美的风信子,初恋情久,慵容,疯丫头,眼红了也就看透了,豹纹小女人
女王般的活着,,,,,梦醒,,,,
姐就是如此奇特,,,,,冷漠,,,,狼一样的女人
多么哇塞的姑娘,,,,,栀蓝,,,,骨感
45女人最美的弧度,,,,,逝水无痕,,,,女人香
空城里的温柔,,,,,雨夜追风,,,,职场如后宫
限量版温柔,,,,,共度余生,,,,一个不倾城的女子
敗家菇凉,,,,,我要让情敌当伴郎,,,,邻家女孩
我不是我自己,,,,,收敛野心,,,,一个被遗忘的女人
一个眼神的距离,,,,,忘掉悲伤,,,,绝版娇妻
致命的优雅,,,,,从此珍惜你,,,,蒙奇奇
恋你一世温柔,,,,,度心,,,,一辈子爱我
此岸我为君倾城,,,,,孤僻似困兽,,,,不敢爱
似温柔亦苍白,,,,,缺點诗意,,,,此女子难养
强者的姿态,,,,,鬼守尸,,,,各花入各眼
气质藏不住,,,,,霸气de小男生,,,,女王范儿
菇凉天生傲骨,,,,,暗恋一场纯真闷骚,,,,独角戏
姐活的有模有样,,,,,爱我的人会发光i,,,,瑞拉公主
掀起刘海做女王,,,,,爱是含笑饮砒霜,,,,百变天使
凉城小街姑娘未离,,,,,痞唇,,,,等一个旧人
胭脂染了灰,,,,,劫外身,,,,萝莉小姐
会喝酒的菇凉超拽,,,,,她素颜时最美,,,,你无权访问
绝情拽丫头,,,,,哼唱小情歌,,,,寂寞小姐
紫色优雅旳神秘,,,,,性别男爱好男,,,,背叛了我
丷芒果菇凉,,,,,吻她唇毁她纯,,,,我怀念的
眼眸印温柔,,,,,无人囍我,,,,落花伊人
可愛宝丫头,,,,,惹不起,,,,冷漠旳瞳孔
碎花中的娇艳女子,,,,,钟晚,,,,灰姑娘
范二姑凉欢乐多,,,,,风乎舞雩,,,,拇指姑娘
十里荒凉胭脂泪,,,,,哈努卡前的犹太人,,,,为你变乖
心机全无好菇凉,,,,,帅届扛把子,,,,一缕阳光
姐用霸道饰温柔,,,,,风与尘的誓约,,,,旧城不复
姐的幸福下落不明,,,,,日青良月,,,,舍不得放开
心已成伤却未碎,,,,,难遇,,,,掩饰伤痛
总有贱妇计谋本宫,,,,,黒耶i,,,,被你征服
做自己的女王,,,,,爱似烟花易破碎,,,,他不要我
十七岁的末班车,,,,,_____浅沫,,,,旧人已旧
,,,,,我还有谁,,,,我要吃糖
单身姑娘照样嗨,,,,,Forever优雅,,,,爱来过
谁的真心没喂过狗,,,,,倾月轩萱_,,,,沦落风尘
此籹子小拽,,,,,成熟,,,,褪色的童话
我有我的小思念,,,,,背弃i,,,,睫毛溺了水
奇葩姑娘拽天下,,,,,朽木C,,,,
嘟着小嘴耍任性,,,,,,,,,陪我到最后
风一样的女子,,,,,陵城,,,,
碎花洋裙的优雅,,,,,细呷温酒,,,,转身灬泪倾城
再坚强也会伤,,,,,忧郁少年,,,,我不是空气
任性不乖巧,,,,,我本善良,,,,倾国倾城
谜一般的女子,,,,,璀璨的星尘,,,,
唯爱高跟鞋,,,,,余温散尽,,,,假装很幸福
霸气的萌妹纸,,,,,花未眠,,,,托付终生
一朵气质花,,,,,醉殇,,,,挽吟袖
偏执了青丝飘拂,,,,,,,,,风月倦怠
北海以北茉莉少女,,,,,浪女无爱,,,,羁拥
光彩夺目的高傲,,,,,拜谁不如拜自己,,,,老锗與謌
唠叨的小嘴,,,,,嘴边笑度刚好,,,,面具的冷笑
自信就是气质,,,,,活雷疯i,,,,私藏温柔
姐有的是脾气,,,,,姑凉不准玩心,,,,旧座位没有她
疏影柏翠胭脂淡,,,,,冷笑,,,,未曾正经
好菇凉光芒万丈,,,,,良笙,,,,红衣少年无踪迹
吃货姑娘最可爱,,,,,,,,,爱到痴惘
满城阳光不及他,,,,,魑魅魍魉,,,,折奉
他城旧梦无归,,,,,千万样野心,,,,天授唱诗人
比花还妖艳的笑容,,,,,,,,,掀起流海做型男
老娘不拽怎么活,,,,,颓废,,,,刃上热血
好菇凉前途无量,,,,,笑骂由人,,,,傲藐者
尐吖頭脾氣拽,,,,,第三者,,,,尽撩少女心
时光叫我别念他,,,,,放空,,,,你与氧共存
不画扮熟的眼线,,,,,简柠,,,,愚季
哭著化眼妝,,,,,沵算what,,,,贩梦货郎
他的那个她,,,,,放手也是一种罪过,,,,孤望
一个情绪化的女人,,,,,有妳很瞞促,,,,起笔又添愁
谁能给姐幸福,,,,,早已沧海桑田,,,,久獨則菰
温柔旳安抚,,,,,云终韵,,,,白衬藏了阳光
流走在尘世间的猫,,,,,南城雨落,,,,无意流浪
清新脱俗的女子,,,,,那段情,,,,封刀战魔
自然赋予美,,,,,清黎,,,,酒岁
没有爪子的猫,,,,,涨柏樰络,,,,撒渔网旅人
持续的小温柔,,,,,在妳心里做妳的王,,,,啪啪啪能量
小妞爱时尚,,,,,占有欲,,,,满目逢秋
阳光大蛮妞,,,,,过期不候,,,,天降幽鬼
从此微笑如花,,,,,明月之勇,,,,
侧脸还是很美,,,,,简单錯,,,,野酷士
胖子没未来,,,,,爱似烟花易破_碎,,,,
半吊子的温柔,,,,,酌青山,,,,偏爱孤身
泡沫乄iao精灵,,,,,追风的落叶,,,,逃课君
紫色蒲公英,,,,,火里栽莲,,,,情授
琴键上跳芭蕾,,,,,阴为蛋湿,,,,被判孤身
一颗糖忘记烦恼,,,,,彼岸红尘花已逝,,,,想暧昧却动了心
转身氏温柔,,,,,逐梦落叶,,,,秀不羁
流年淡漠紅顏,,,,,太阳是我啃园的,,,,感情待我如此薄
我跟你不熟,,,,,,,,,笑脸带眼红
或许不在懂,,,,,锁骨的吻痕,,,,要走别再回头
暮色浓妆却微凉,,,,,蘇沐月,,,,讨喜冤家
姑娘你走點心,,,,,从未消失的孤独,,,,最好有梦想
最后那点温柔,,,,,七炫灬,,,,山月不知心底事
小疯小狂小野蛮,,,,,,,,,
姐的高资态,,,,,,,,,随性似风
心事作废,,,,,,,,,莣萳
傲视苍生,,,,,,,,,剑下孤魂
孤傲白狼,,,,,,,,,噩梦占卜师
生气撒娇耍赖皮,,,,,,,,,吾性傲以野
这个傻b世界,,,,,,,,,拿酒与你说心事
爷们越二越有范,,,,,,,,,志在飞翔
请叫我望仔,,,,,,,,,五品带砖侍卫
哥就拽sowhat,,,,,,,,,
精致的情绪疯,,,,,,,,,余安
薄情寡义无人不弃,,,,,,,,,孤心匠
叉叉你个圈圈,,,,,,,,,坚持下去便成王
你拽个毛线,,,,,,,,,浮尸路亽
一紧张就爆粗口,,,,,,,,,咽渡
咬着棉花糖拽世界,,,,,,,,,特约演员
小爷活的有姿有范,,,,,,,,,帝奴仙
黒茗單侑妳浭精彩,,,,,,,,,
想和土豪做朋友,,,,,,,,,斗魂如焚
拽就要拽的有格调,,,,,,,,,兵马作笑谈
你的贱衬托朕的拽,,,,,,,,,偃师
一直高姿态,,,,,,,,,其实我情陷你
穷得只剩下钱,,,,,,,,,酒事
爷如此精神,,,,,,,,,撩人臸罙情
清高無語中,,,,,,,,,寒洲
我去年买了个表灬,,,,,,,,,任半生嚣狂
拽是男的本性,,,,,,,,,孤傲灬流年
頑丗不恭,,,,,,,,,岁月成沧海
青春如此不羁,,,,,,,,,袖间
践踏你的尊严,,,,,,,,,黑界祖宗
爷烦了不解释,,,,,,,,,
我是我自己的神,,,,,,,,,掩灼
充满传奇的人生,,,,,,,,,活在风浪里
比你拽咋滴,,,,,,,,,清淮
滚不解释,,,,,,,,,归于瘾
爷94拽,,,,,,,,,强势废物
我的骄傲你比不了,,,,,,,,,酒醒梦断
爷唯享独尊,,,,,,,,,风流意气都作罢
尐吖头脾气拽,,,,,,,,,一朝山水一朝臣
屁大的事,,,,,,,,,过分钟情
不明关系,,,,,,,,,拿稳自己再说话
替我挡风,,,,,,,,,蔚落
高傲的存在着,,,,,,,,,
过火给的错,,,,,,,,,暮色重山
时光滥好人,,,,,,,,,亡鸦
悲伤请走开,,,,,,,,,黑校
风华初成,,,,,,,,,
只是名字太闪眼o,,,,,,,,,我的五杀你抢不了
安静的复苏,,,,,,,,,
收回你的温存,,,,,,,,,行云流浪
倍儿坚强,,,,,,,,,最难是放
我不爱任何人,,,,,,,,,一生酷到底
何必讨好,,,,,,,,,酷到招风
低调的鸭丫,,,,,,,,,撩妹首席指导师
姐的霸气归属,,,,,,,,,一身正气结果漏气
不乱于心不畏将来,,,,,,,,,轻言细语的弱书生
懒得动心,,,,,,,,,惯出来的祖宗
声嘶力竭的情歌,,,,,,,,,戎马安半生
萌妹纸的霸气范,,,,,,,,,狂傲与共
别把现在当未来,,,,,,,,,纵遇
被记忆的高温,,,,,,,,,尽心独
一颗心只许你伤,,,,,,,,,第二眼钟情
谎言干掉了誓言,,,,,,,,,回忆在搜索
活的无可代替,,,,,,,,,南殷
不等式de高姿态,,,,,,,,,冷月轻吟
年月变我未变,,,,,,,,,盾破千軍
逆光行走,,,,,,,,,酒奴
天才白痴梦,,,,,,,,,月倚轻云
全球化的青春,,,,,,,,,何拆
要气场更要气质,,,,,,,,,哭乱冢
拼出自已的未来,,,,,,,,,妄言者
灬自以为是,,,,,,,,,随性已惯
注意秀气外漏,,,,,,,,,地狱邮差
彼岸竟奢华,,,,,,,,,吃货未泯
Smile盐汽水,,,,,,,,,
你若离去巴掌扇去,,,,,,,,,厭世為王
